player_name,team,fa_class,position,minor_league_level
Albert Suarez,Tampa Bay Rays,2014,RHP,AA
Joe Van Meter,Tampa Bay Rays,2014,RHP,AA
Mayobanex Acosta,Tampa Bay Rays,2014,C,AA
Craig Albernaz,Tampa Bay Rays,2014,C,AAA
Jesus Flores,Tampa Bay Rays,2014,C,AAA
Mark Thomas,Tampa Bay Rays,2014,C,AA
Mike Fontenot,Tampa Bay Rays,2014,2B,AAA
Robi Estrada,Tampa Bay Rays,2014,SS,AA
Shawn O’Malley,Tampa Bay Rays,2014,SS,AAA
Evan Frey,Tampa Bay Rays,2014,OF,AAA
Freddy Guzman,Tampa Bay Rays,2014,OF,AAA
K.D. Kang,Tampa Bay Rays,2014,OF,AA
Rich Thompson,Tampa Bay Rays,2014,OF,AAA
Collin Balester,Texas Rangers,2014,RHP,AAA
Jake Brigham,Texas Rangers,2014,RHP,AAA
Evan Meek,Texas Rangers,2014,RHP,AAA
Carlos Pimentel,Texas Rangers,2014,RHP,AAA
Scott Richmond,Texas Rangers,2014,RHP,AAA
Ross Wolf,Texas Rangers,2014,RHP,AAA
Johan Yan,Texas Rangers,2014,RHP,AAA
