internal_id,player_name,first_name,last_name,has_suffix,team,fa_class,position,normed_position,minor_league_level
299,Andy Wilkins,Andy,Wilkins,false,MIL,2017,1B,batter,AAA
5159,Tom Belza,Tom,Belza,false,MIL,2017,3B,batter,AA
1960,Garin Cecchini,Garin,Cecchini,false,MIL,2017,3B,batter,AAA
4439,Ramon Flores,Ramon,Flores,false,MIL,2017,OF,batter,AAA
4933,Shane Peterson,Shane,Peterson,false,MIL,2017,OF,batter,AAA
2418,Jason Adam,Jason,Adam,false,MIN,2017,RHP,pitcher,AA
4219,Omar Bencomo,Omar,Bencomo,false,MIN,2017,RHP,pitcher,AAA
1671,Edward Mujica,Edward,Mujica,false,MIN,2017,RHP,pitcher,AAA
4094,Neil Ramirez,Neil,Ramirez,false,MIN,2017,RHP,pitcher,AAA
3648,Marcus Walden,Marcus,Walden,false,MIN,2017,RHP,pitcher,AAA
180,Alex Wimmers,Alex,Wimmers,false,MIN,2017,RHP,pitcher,AAA
3467,Logan Darnell,Logan,Darnell,false,MIN,2017,LHP,pitcher,AAA
4287,Pat Dean,Pat,Dean,false,MIN,2017,LHP,pitcher,AAA
4136,Nick Greenwood,Nick,Greenwood,false,MIN,2017,LHP,pitcher,AAA
831,Carlos Paulino,Carlos,Paulino,false,MIN,2017,C,batter,AAA
5533,Yeison Perez,Yeison,Perez,false,MIN,2017,C,batter,DSL
2286,Jairo Rodriguez,Jairo,Rodriguez,false,MIN,2017,C,batter,AA
2351,James Beresford,James,Beresford,false,MIN,2017,2B,batter,AAA
5172,Tommy Field,Tommy,Field,false,MIN,2017,2B,batter,AAA
66,Aderlin Mejia,Aderlin,Mejia,false,MIN,2017,2B,batter,Hi A
2105,Heiker Meneses,Heiker,Meneses,false,MIN,2017,SS,batter,AAA
5428,Wilfredo Tovar,Wilfredo,Tovar,false,MIN,2017,SS,batter,AAA
4514,Reynaldo Rodriguez,Reynaldo,Rodriguez,false,MIN,2017,OF,batter,AAA
5306,Tyler Herron,Tyler,Herron,false,NYM,2017,RHP,pitcher,AAA
4426,Rainy Lara,Rainy,Lara,false,NYM,2017,RHP,pitcher,AA
1509,Domingo Tapia,Domingo,Tapia,false,NYM,2017,RHP,pitcher,Hi A
5639,Zach Thornton,Zach,Thornton,false,NYM,2017,RHP,pitcher,AAA
3093,Josh Zeid,Josh,Zeid,false,NYM,2017,RHP,pitcher,AAA
260,Andrew Barbosa,Andrew,Barbosa,false,NYM,2017,LHP,pitcher,AA
1569,Duane Below,Duane,Below,false,NYM,2017,LHP,pitcher,AAA
1939,Gabriel Feliz,Gabriel,Feliz,false,NYM,2017,LHP,pitcher,SS
1327,Darin Gorski,Darin,Gorski,false,NYM,2017,LHP,pitcher,AAA
932,Chase Huchingson,Chase,Huchingson,false,NYM,2017,LHP,pitcher,AAA
77,Adrian Abreu,Adrian,Abreu,false,NYM,2017,C,batter,Lo A
2501,Jeff Glenn,Jeff,Glenn,false,NYM,2017,C,batter,AAA
4486,Raywilly Gomez,Raywilly,Gomez,false,NYM,2017,C,batter,AA
3632,Marc Krauss,Marc,Krauss,false,NYM,2017,1B,batter,AAA
1755,Eric Campbell,Eric,Campbell,false,NYM,2017,3B,batter,AAA
1456,Derrik Gibson,Derrik,Gibson,false,NYM,2017,SS,batter,AA
4184,Niuman Romero,Niuman,Romero,false,NYM,2017,SS,batter,AAA
4637,Roger Bernadina,Roger,Bernadina,false,NYM,2017,OF,batter,AAA
5284,Tyler Cloyd,Tyler,Cloyd,false,NYY,2017,RHP,pitcher,AAA
1053,Claudio Custodio,Claudio,Custodio,false,NYY,2017,RHP,pitcher,SS
1931,Gabe Encinas,Gabe,Encinas,false,NYY,2017,RHP,pitcher,R
4843,Santiago Nessy,Santiago,Nessy,false,NYY,2017,C,batter,Hi A
1624,Eddy Rodriguez,Eddy,Rodriguez,false,NYY,2017,C,batter,AAA
4903,Sebastian Valle,Sebastian,Valle,false,NYY,2017,C,batter,AA
3015,Jose Rosario,Jose,Rosario,false,NYY,2017,2B,batter,AAA
1047,Cito Culver,Cito,Culver,false,NYY,2017,SS,batter,AAA
